article_id,task_model_slug,source_model_slug,prompt_idx,is_seed,is_best,parse_status,gold_score,pred_score,gold_direction,gold_confidence,pred_direction,pred_confidence
btc-gepa-test-001,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-002,claude_sonnet46,claude_sonnet46,0,True,False,ok,15,13,1,5,1,3
btc-gepa-test-003,claude_sonnet46,claude_sonnet46,0,True,False,ok,7,12,0,2,1,2
btc-gepa-test-004,claude_sonnet46,claude_sonnet46,0,True,False,ok,4,9,-1,4,0,4
btc-gepa-test-005,claude_sonnet46,claude_sonnet46,0,True,False,ok,15,14,1,5,1,4
btc-gepa-test-006,claude_sonnet46,claude_sonnet46,0,True,False,ok,12,12,1,2,1,2
btc-gepa-test-007,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,13,1,3,1,3
btc-gepa-test-008,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-009,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,13,1,3,1,3
btc-gepa-test-010,claude_sonnet46,claude_sonnet46,0,True,False,ok,12,13,1,2,1,3
btc-gepa-test-011,claude_sonnet46,claude_sonnet46,0,True,False,ok,5,3,-1,5,-1,3
btc-gepa-test-012,claude_sonnet46,claude_sonnet46,0,True,False,ok,8,9,0,3,0,4
btc-gepa-test-013,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,13,1,3,1,3
btc-gepa-test-014,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,8,1,3,0,3
btc-gepa-test-015,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-016,claude_sonnet46,claude_sonnet46,0,True,False,ok,5,3,-1,5,-1,3
btc-gepa-test-017,claude_sonnet46,claude_sonnet46,0,True,False,ok,3,7,-1,3,0,2
btc-gepa-test-018,claude_sonnet46,claude_sonnet46,0,True,False,ok,4,3,-1,4,-1,3
btc-gepa-test-019,claude_sonnet46,claude_sonnet46,0,True,False,ok,5,3,-1,5,-1,3
btc-gepa-test-020,claude_sonnet46,claude_sonnet46,0,True,False,ok,3,5,-1,3,-1,5
btc-gepa-test-021,claude_sonnet46,claude_sonnet46,0,True,False,ok,4,3,-1,4,-1,3
btc-gepa-test-022,claude_sonnet46,claude_sonnet46,0,True,False,ok,7,8,0,2,0,3
btc-gepa-test-023,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-024,claude_sonnet46,claude_sonnet46,0,True,False,ok,4,4,-1,4,-1,4
btc-gepa-test-025,claude_sonnet46,claude_sonnet46,0,True,False,ok,5,3,-1,5,-1,3
btc-gepa-test-026,claude_sonnet46,claude_sonnet46,0,True,False,ok,12,9,1,2,0,4
btc-gepa-test-027,claude_sonnet46,claude_sonnet46,0,True,False,ok,3,4,-1,3,-1,4
btc-gepa-test-028,claude_sonnet46,claude_sonnet46,0,True,False,ok,3,5,-1,3,-1,5
btc-gepa-test-029,claude_sonnet46,claude_sonnet46,0,True,False,ok,15,14,1,5,1,4
btc-gepa-test-030,claude_sonnet46,claude_sonnet46,0,True,False,ok,7,7,0,2,0,2
btc-gepa-test-031,claude_sonnet46,claude_sonnet46,0,True,False,ok,13,11,1,3,1,1
btc-gepa-test-032,claude_sonnet46,claude_sonnet46,0,True,False,ok,14,12,1,4,1,2
btc-gepa-test-033,claude_sonnet46,claude_sonnet46,0,True,False,failed,12,,1,2,,
btc-gepa-test-034,claude_sonnet46,claude_sonnet46,0,True,False,ok,12,12,1,2,1,2
btc-gepa-test-035,claude_sonnet46,claude_sonnet46,0,True,False,ok,14,14,1,4,1,4
btc-gepa-test-001,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,12,1,3,1,2
btc-gepa-test-002,claude_sonnet46,claude_sonnet46,1,False,False,ok,15,13,1,5,1,3
btc-gepa-test-003,claude_sonnet46,claude_sonnet46,1,False,False,ok,7,12,0,2,1,2
btc-gepa-test-004,claude_sonnet46,claude_sonnet46,1,False,False,ok,4,8,-1,4,0,3
btc-gepa-test-005,claude_sonnet46,claude_sonnet46,1,False,False,ok,15,14,1,5,1,4
btc-gepa-test-006,claude_sonnet46,claude_sonnet46,1,False,False,ok,12,11,1,2,1,1
btc-gepa-test-007,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,13,1,3,1,3
btc-gepa-test-008,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,12,1,3,1,2
btc-gepa-test-009,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,13,1,3,1,3
btc-gepa-test-010,claude_sonnet46,claude_sonnet46,1,False,False,ok,12,13,1,2,1,3
btc-gepa-test-011,claude_sonnet46,claude_sonnet46,1,False,False,ok,5,3,-1,5,-1,3
btc-gepa-test-012,claude_sonnet46,claude_sonnet46,1,False,False,ok,8,8,0,3,0,3
btc-gepa-test-013,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,13,1,3,1,3
btc-gepa-test-014,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,8,1,3,0,3
btc-gepa-test-015,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,12,1,3,1,2
btc-gepa-test-016,claude_sonnet46,claude_sonnet46,1,False,False,ok,5,3,-1,5,-1,3
btc-gepa-test-017,claude_sonnet46,claude_sonnet46,1,False,False,ok,3,7,-1,3,0,2
btc-gepa-test-018,claude_sonnet46,claude_sonnet46,1,False,False,ok,4,3,-1,4,-1,3
btc-gepa-test-019,claude_sonnet46,claude_sonnet46,1,False,False,ok,5,3,-1,5,-1,3
btc-gepa-test-020,claude_sonnet46,claude_sonnet46,1,False,False,ok,3,4,-1,3,-1,4
btc-gepa-test-021,claude_sonnet46,claude_sonnet46,1,False,False,ok,4,3,-1,4,-1,3
btc-gepa-test-022,claude_sonnet46,claude_sonnet46,1,False,False,ok,7,8,0,2,0,3
btc-gepa-test-023,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,12,1,3,1,2
btc-gepa-test-024,claude_sonnet46,claude_sonnet46,1,False,False,ok,4,4,-1,4,-1,4
btc-gepa-test-025,claude_sonnet46,claude_sonnet46,1,False,False,ok,5,3,-1,5,-1,3
btc-gepa-test-026,claude_sonnet46,claude_sonnet46,1,False,False,ok,12,9,1,2,0,4
btc-gepa-test-027,claude_sonnet46,claude_sonnet46,1,False,False,ok,3,4,-1,3,-1,4
btc-gepa-test-028,claude_sonnet46,claude_sonnet46,1,False,False,ok,3,6,-1,3,0,1
btc-gepa-test-029,claude_sonnet46,claude_sonnet46,1,False,False,ok,15,14,1,5,1,4
btc-gepa-test-030,claude_sonnet46,claude_sonnet46,1,False,False,ok,7,6,0,2,0,1
btc-gepa-test-031,claude_sonnet46,claude_sonnet46,1,False,False,ok,13,11,1,3,1,1
btc-gepa-test-032,claude_sonnet46,claude_sonnet46,1,False,False,ok,14,12,1,4,1,2
btc-gepa-test-033,claude_sonnet46,claude_sonnet46,1,False,False,failed,12,,1,2,,
btc-gepa-test-034,claude_sonnet46,claude_sonnet46,1,False,False,ok,12,12,1,2,1,2
btc-gepa-test-035,claude_sonnet46,claude_sonnet46,1,False,False,ok,14,14,1,4,1,4
