article_id,task_model_slug,source_model_slug,prompt_idx,is_seed,is_best,parse_status,gold_score,pred_score,gold_direction,gold_confidence,pred_direction,pred_confidence
btc-gepa-test-001,qwen36,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-002,qwen36,claude_sonnet46,0,True,False,ok,15,14,1,5,1,4
btc-gepa-test-003,qwen36,claude_sonnet46,0,True,False,ok,7,12,0,2,1,2
btc-gepa-test-004,qwen36,claude_sonnet46,0,True,False,ok,4,12,-1,4,1,2
btc-gepa-test-005,qwen36,claude_sonnet46,0,True,False,ok,15,14,1,5,1,4
btc-gepa-test-006,qwen36,claude_sonnet46,0,True,False,ok,12,12,1,2,1,2
btc-gepa-test-007,qwen36,claude_sonnet46,0,True,False,ok,13,14,1,3,1,4
btc-gepa-test-008,qwen36,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-009,qwen36,claude_sonnet46,0,True,False,ok,13,12,1,3,1,2
btc-gepa-test-010,qwen36,claude_sonnet46,0,True,False,ok,12,13,1,2,1,3
btc-gepa-test-011,qwen36,claude_sonnet46,0,True,False,ok,5,5,-1,5,-1,5
btc-gepa-test-012,qwen36,claude_sonnet46,0,True,False,ok,8,11,0,3,1,1
btc-gepa-test-013,qwen36,claude_sonnet46,0,True,False,ok,13,13,1,3,1,3
btc-gepa-test-014,qwen36,claude_sonnet46,0,True,False,ok,13,3,1,3,-1,3
btc-gepa-test-015,qwen36,claude_sonnet46,0,True,False,ok,13,14,1,3,1,4
btc-gepa-test-016,qwen36,claude_sonnet46,0,True,False,ok,5,5,-1,5,-1,5
btc-gepa-test-017,qwen36,claude_sonnet46,0,True,False,ok,3,3,-1,3,-1,3
btc-gepa-test-018,qwen36,claude_sonnet46,0,True,False,ok,4,4,-1,4,-1,4
btc-gepa-test-019,qwen36,claude_sonnet46,0,True,False,ok,5,4,-1,5,-1,4
btc-gepa-test-020,qwen36,claude_sonnet46,0,True,False,ok,3,8,-1,3,0,3
btc-gepa-test-021,qwen36,claude_sonnet46,0,True,False,ok,4,5,-1,4,-1,5
btc-gepa-test-022,qwen36,claude_sonnet46,0,True,False,ok,7,8,0,2,0,3
